school_code,in_treatment,used_assistments
00010015,0,0
00010405,0,0
00020010,0,0
00020015,0,0
00020020,0,0
00020025,0,0
00020030,0,1
00030305,0,0
00050303,0,0
00050405,1,1
00070013,0,0
00080009,0,0
00080020,0,0
00080050,0,0
00090305,0,0
00090310,0,0
00090350,0,0
00100410,0,0
00140405,0,1
00160305,0,0
00160315,0,0
00160320,0,0
00170305,1,1
00180010,0,0
00180510,0,0
00200315,0,0
00200505,0,0
00230305,0,0
00240006,0,0
00240025,0,0
00250315,1,1
00260305,0,0
00270305,0,0
00280005,0,0
00300305,0,0
00310305,0,0
00310310,0,0
00350004,0,0
00350012,0,0
00350013,0,0
00350020,0,0
00350074,0,0
00350080,0,0
00350096,0,0
00350116,0,0
00350179,0,0
00350182,0,0
00350183,0,0
00350190,0,0
00350229,0,0
00350240,0,0
00350255,0,0
00350257,0,0
00350258,0,0
00350262,0,0
00350308,0,0
00350326,0,0
00350346,0,0
00350363,0,0
00350375,0,0
00350376,0,0
00350377,0,0
00350378,0,0
00350380,0,0
00350382,0,0
00350383,0,0
00350426,0,0
00350430,0,1
00350445,0,0
00350470,0,0
00350485,0,0
00350545,0,0
00350560,1,1
00350565,0,0
00350575,0,1
00350656,0,0
00350657,0,0
00350691,0,0
00350750,0,0
00360325,0,0
00370005,0,0
00380013,0,0
00390005,0,0
00400305,0,0
00400310,0,0
00430005,0,0
00440023,0,0
00440078,0,0
00440405,0,0
00440410,0,0
00440415,0,0
00440420,0,0
00440421,0,0
00440422,0,0
00450005,0,0
00460005,0,1
00460015,0,0
00460020,0,0
00460025,0,0
00460030,0,0
00460035,0,1
00460040,0,0
00460045,0,1
00480303,0,0
00490006,0,0
00490305,0,0
00490310,0,0
00490315,0,0
00490320,0,0
00500305,0,1
00510025,0,0
00520405,0,0
00560305,0,0
00560310,0,0
00570045,0,0
00570050,0,0
00570055,0,0
00610021,0,0
00610305,0,0
00610310,0,0
00630010,0,0
00640305,0,1
00650505,0,0
00670305,0,0
00680005,0,0
00710305,0,0
00720050,0,0
00730305,0,1
00740015,0,0
00770100,1,1
00770505,1,1
00790040,0,0
00790410,0,0
00820305,0,1
00830010,0,0
00860305,1,1
00870305,0,0
00880405,0,0
00890005,0,0
00910030,0,0
00930010,0,0
00930018,1,1
00930028,0,0
00930038,0,1
00930058,0,0
00940305,0,0
00950045,0,0
00950305,0,0
00950310,0,0
00950315,0,0
00950320,0,0
00950326,0,0
00960305,0,1
00960405,0,0
00970048,0,0
00970315,0,1
00970340,0,0
00980005,0,0
00990405,0,1
01000302,1,1
01000305,0,0
01000310,0,0
01010040,0,0
01010310,0,1
01010405,0,0
01030405,0,0
01050305,0,0
01070305,0,0
01100030,0,0
01100200,0,0
01100305,0,1
01110004,0,0
01110505,0,0
01140305,0,0
01140505,0,0
01140900,0,0
01170015,0,0
01170505,0,0
01180005,0,0
01220305,0,0
01250505,0,0
01270005,0,0
01270505,0,0
01280035,0,0
01280050,0,0
01280085,0,0
01280100,0,0
01310410,0,0
01330025,0,0
01330505,0,0
01350005,0,0
01360305,0,1
01370015,0,0
01370025,0,1
01370030,0,1
01370040,1,1
01370045,0,1
01370055,0,1
01370060,0,0
01370525,0,0
01380010,0,0
01380505,0,1
01390305,1,1
