school_id,teacher_count,class_count,user_count,assignment_log_count,school_start_year,school_end_year
01510015,7,12,127,438,2007,2008
02710030,2,2,2,5,2007,2008
03480405,5,10,174,2875,2007,2008
03480415,8,19,265,1292,2007,2008
03480420,1,2,5,6,2007,2008
03480423,11,22,145,2309,2007,2008
03480515,7,15,143,1032,2007,2008
01510015,3,8,155,1486,2008,2009
02710030,1,2,31,148,2008,2009
03480405,2,4,182,4863,2008,2009
03480415,4,9,302,5076,2008,2009
03480423,3,7,148,607,2008,2009
03480515,4,7,196,1133,2008,2009
01510015,11,24,279,3565,2009,2010
02260405,1,1,2,10,2009,2010
02710030,7,9,489,1997,2009,2010
03480350,2,2,70,104,2009,2010
03480405,5,17,156,12485,2009,2010
03480415,17,27,1273,8783,2009,2010
03480420,8,10,183,710,2009,2010
03480423,9,10,104,446,2009,2010
03480512,1,2,89,354,2009,2010
03480515,15,18,172,1947,2009,2010
00140405,2,2,2,3,2010,2011
00170305,1,1,1,3,2010,2011
00170505,1,1,1,2,2010,2011
00250315,5,5,11,16,2010,2011
00610510,1,4,86,605,2010,2011
00770100,1,1,20,107,2010,2011
00970315,1,2,26,50,2010,2011
01000302,4,6,69,229,2010,2011
01100305,19,44,865,4121,2010,2011
01510015,14,52,1286,36958,2010,2011
01530045,3,5,32,175,2010,2011
01530320,5,6,11,16,2010,2011
01860025,5,7,57,242,2010,2011
01860505,9,10,170,1299,2010,2011
01890505,1,1,2,2,2010,2011
02080005,2,2,7,24,2010,2011
02260405,4,6,156,714,2010,2011
02710030,48,105,2371,18092,2010,2011
02710305,12,26,392,3379,2010,2011
03150305,3,4,7,10,2010,2011
03150505,1,2,5,15,2010,2011
03160505,7,10,207,448,2010,2011
03460305,3,5,90,178,2010,2011
03480225,3,4,68,595,2010,2011
03480350,2,4,33,92,2010,2011
03480405,17,36,680,7040,2010,2011
03480415,48,88,1709,36894,2010,2011
03480420,5,8,157,692,2010,2011
03480423,13,18,202,3386,2010,2011
03480515,31,67,1155,16078,2010,2011
03480520,11,13,321,3157,2010,2011
07250305,3,3,16,22,2010,2011
07250310,1,1,1,1,2010,2011
07750505,10,15,195,1580,2010,2011
08320605,3,5,65,299,2010,2011
00050405,2,3,67,170,2011,2012
00090505,1,1,1,1,2011,2012
00100505,1,3,16,234,2011,2012
00140405,2,2,35,80,2011,2012
00170305,10,13,135,284,2011,2012
00170505,1,1,2,6,2011,2012
00250315,26,32,537,16200,2011,2012
00250510,2,8,232,233,2011,2012
00350430,1,1,54,54,2011,2012
00350560,1,2,92,2755,2011,2012
00500305,2,5,111,707,2011,2012
00610510,1,4,41,362,2011,2012
00640305,6,7,94,380,2011,2012
00770100,1,2,95,449,2011,2012
00770505,2,3,42,86,2011,2012
00930018,2,2,82,2081,2011,2012
00930038,1,2,9,61,2011,2012
00970315,4,5,29,134,2011,2012
