school_code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability,Principal Total_is_nan
00010015,0.0,0.0,0.0,33.3,0.0,0.0,0.0,29.3,4.0,33.3,16.3,100.0,80.0,100.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,110.0,31.9,315.0,2.2,2.2,3.2,91.7,0.0,0.3,0.3,1.0,1.0,100.0,22.0,16.0,72.7,16.3,0.0,0.0,0.0,4.0,5.8,3.0,8.3,4.8,7.5,0.0,50.2,49.8,3.2,14.0,28.3,325.0,6.2,4.9,318.0,95.9,0
00010405,0.0,0.0,0.0,37.2,0.0,0.0,0.0,30.6,6.6,37.2,22.5,100.0,111.0,100.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,165.0,0.0,0.0,0.0,0.0,0.0,344.0,182.0,20.7,346.0,1.4,0.0,5.8,92.8,0.0,0.0,0.0,1.0,1.0,100.0,24.0,21.0,87.5,22.5,0.0,0.0,0.0,1.0,4.4,3.8000000000000003,4.4,16.6,7.0,0.0,49.1,50.9,1.2,13.6,26.3,349.0,3.4,2.0,346.0,97.4,0
00020010,0.0,2.7,0.0,90.7,0.0,1.0,0.0,89.9,4.5,94.4,35.0,100.0,164.0,100.0,17.3,79.0,59.0,63.0,90.0,93.0,72.0,72.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,187.0,22.0,622.0,2.4,26.0,3.4,65.1,0.2,0.0,2.9,1.0,1.0,100.0,39.0,34.0,87.2,26.5,8.0,0.0,0.5,3.9,5.5,10.9,25.6,29.8,18.7,0.0,46.6,53.4,3.7,21.1,3.9,642.0,9.8,7.2,607.0,95.4,0
00020015,0.0,0.0,0.5,58.4,0.0,0.0,0.0,55.4,3.5,58.9,28.5,100.0,128.0,100.0,16.9,0.0,57.0,64.0,68.0,73.0,71.0,70.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,149.0,23.0,484.0,1.9,13.0,6.6,74.2,0.0,0.0,4.3,1.0,1.0,100.0,32.0,27.0,84.4,24.0,4.0,0.0,0.5,1.0,7.5,7.5,14.8,16.0,10.700000000000001,1.5,50.6,49.4,7.0,18.6,5.2,494.0,5.1,3.2,481.0,97.5,0
00020020,0.0,0.6,0.0,51.4,0.0,0.0,0.0,48.4,3.6,52.0,27.9,100.0,128.0,100.0,17.3,0.0,60.0,64.0,67.0,74.0,72.0,71.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,149.0,23.2,491.0,1.2,21.6,1.8,67.0,0.0,0.0,8.4,1.0,1.0,100.0,29.0,25.0,86.2,25.400000000000002,2.0,0.0,0.5,1.0,3.6,7.8,10.200000000000001,14.9,13.1,1.4000000000000001,42.8,57.2,5.1,13.6,5.5,496.0,3.4,2.6,484.0,99.0,0
00020025,0.0,1.6,0.0,52.2,0.0,0.0,0.0,52.8,1.0,53.8,27.4,100.0,122.0,100.0,16.8,0.0,39.0,64.0,65.0,75.0,70.0,70.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,142.0,23.1,466.0,1.3,37.1,0.9,58.2,0.6,0.0,1.9,1.0,1.0,100.0,28.0,26.0,92.9,24.0,3.0,0.0,0.4,1.1,6.3,10.4,14.6,11.0,8.3,2.0,45.7,54.3,3.0,18.7,4.7,474.0,4.9,3.6,462.0,97.6,0
00020030,0.0,2.0,0.0,55.7,0.0,0.5,0.0,52.5,5.7,58.2,28.7,100.0,128.0,100.0,16.8,0.0,56.0,65.0,67.0,74.0,70.0,72.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,149.0,23.3,492.0,0.8,54.1,2.0,39.2,0.2,0.2,3.5,1.0,1.0,100.0,31.0,29.0,93.5,24.2,4.0,0.0,0.5,2.6,11.2,11.5,6.6000000000000005,13.6,12.700000000000001,0.0,50.6,49.4,8.1,14.8,3.7,503.0,6.0,4.0,484.0,97.7,0
00030305,0.0,0.0,0.0,48.1,0.0,0.0,0.0,35.1,13.0,48.1,32.0,100.0,165.0,100.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,110.0,117.0,112.0,122.0,0.0,0.0,0.0,0.0,0.0,461.0,311.0,16.6,463.0,0.9,0.4,0.0,98.5,0.0,0.0,0.2,1.0,1.0,100.0,35.0,30.0,85.7,26.5,5.5,0.0,0.0,2.0,8.0,14.0,10.1,10.0,3.0,1.0,48.4,51.6,0.4,15.3,25.9,466.0,2.1,1.7,461.0,98.9,0
00050303,2.1,0.0,0.0,75.6,0.0,0.0,0.0,67.8,10.0,77.8,42.5,100.0,279.0,100.0,14.2,0.0,0.0,0.0,0.0,0.0,1.0,281.0,312.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,602.0,350.0,17.8,610.0,1.1,1.5,4.3,92.1,0.0,0.0,1.0,1.0,1.0,100.0,48.0,41.0,85.4,40.5,2.0,0.0,0.0,4.0,4.0,9.0,23.6,14.1,19.900000000000002,3.1,49.2,50.8,1.8,17.2,33.3,622.0,5.0,3.1,608.0,97.2,0
00050405,0.1,0.0,1.0,78.6,0.0,0.0,0.0,59.7,20.0,79.7,58.4,100.0,385.0,100.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,346.0,0.0,0.0,0.0,0.0,0.0,644.0,691.0,13.0,647.0,0.3,2.3,4.3,91.3,0.2,0.2,1.4,1.0,1.0,100.0,57.0,48.0,84.2,53.9,4.0,0.0,0.5,6.0,12.5,15.0,19.1,13.6,11.4,2.1,47.8,52.2,0.9,13.6,31.4,659.0,4.6,2.4,647.0,97.2,0
