school_code,year,Grade 6 P+A #,Grade 6 P+A %,Grade 6 A #,Grade 6 A %,Grade 6 P #,Grade 6 P %,Grade 6 NI #,Grade 6 NI %,Grade 6 W/F #,Grade 6 W/F %,Grade 6 No. of Students Included,Grade 6 CPI,Grade 6 Median SGP,Grade 6 Included In Median SGP,Grade 7 P+A #,Grade 7 P+A %,Grade 7 A #,Grade 7 A %,Grade 7 P #,Grade 7 P %,Grade 7 NI #,Grade 7 NI %,Grade 7 W/F #,Grade 7 W/F %,Grade 7 No. of Students Included,Grade 7 CPI,Grade 7 Median SGP,Grade 7 Included In Median SGP,Grade 8 P+A #,Grade 8 P+A %,Grade 8 A #,Grade 8 A %,Grade 8 P #,Grade 8 P %,Grade 8 NI #,Grade 8 NI %,Grade 8 W/F #,Grade 8 W/F %,Grade 8 No. of Students Included,Grade 8 CPI,Grade 8 Median SGP,Grade 8 Included In Median SGP,Grade 6 P+A #_is_nan,Grade 6 Median SGP_is_nan,Grade 6 Included In Median SGP_is_nan,Grade 7 P+A #_is_nan,Grade 7 Median SGP_is_nan,Grade 7 Included In Median SGP_is_nan,Grade 8 P+A #_is_nan,Grade 8 Median SGP_is_nan,Grade 8 Included In Median SGP_is_nan
00010015,2007.0,34.0,37.0,8.0,9.0,26.0,28.0,40.0,43.0,19.0,20.0,93.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00010405,2007.0,,,,,,,,,,,,,,,78.0,40.0,10.0,5.0,68.0,35.0,89.0,46.0,27.0,14.0,194.0,70.9,,,99.0,51.0,17.0,9.0,82.0,42.0,64.0,33.0,32.0,16.0,195.0,74.6,,,1,1,1,0,1,1,0,1,1
00020010,2007.0,87.0,91.0,61.0,64.0,26.0,27.0,7.0,7.0,2.0,2.0,96.0,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00020015,2007.0,61.0,84.0,32.0,44.0,29.0,40.0,8.0,11.0,3.0,4.0,72.0,93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00020020,2007.0,65.0,87.0,42.0,56.0,23.0,31.0,4.0,5.0,6.0,8.0,75.0,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00020025,2007.0,64.0,86.0,35.0,47.0,29.0,39.0,8.0,11.0,2.0,3.0,74.0,94.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00020030,2007.0,61.0,91.0,44.0,66.0,17.0,25.0,4.0,6.0,2.0,3.0,67.0,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00030305,2007.0,72.0,61.0,26.0,22.0,46.0,39.0,31.0,26.0,14.0,12.0,117.0,81.2,,,64.0,49.0,9.0,7.0,55.0,42.0,50.0,38.0,17.0,13.0,131.0,75.8,,,64.0,49.0,16.0,12.0,48.0,37.0,43.0,33.0,23.0,18.0,130.0,73.5,,,0,1,1,0,1,1,0,1,1
00050303,2007.0,211.0,60.0,78.0,22.0,133.0,38.0,105.0,30.0,36.0,10.0,352.0,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00050405,2007.0,,,,,,,,,,,,,,,166.0,49.0,41.0,12.0,125.0,37.0,123.0,37.0,47.0,14.0,336.0,75.4,,,166.0,48.0,54.0,16.0,112.0,32.0,127.0,37.0,53.0,15.0,346.0,74.4,,,1,1,1,0,1,1,0,1,1
