"target_sequence","student_id","assignment_start_time","assignment_completed","problems_completed"
PSAVTVM,354,1573054330.985,1,3
PSAVUK7,354,1550173184.816,0,11
PSA2H6G,544,1556819745.024,1,4
PSA2H6G,545,1556819835.781,1,3
PSA2H6G,552,1556820610.848,1,7
PSA2H6G,555,1556807244.539,0,1
PSA2H6G,556,1556820374.546,1,3
PSA2H6G,558,1556808516.453,1,3
PSA2H6G,562,1556819732.015,1,3
PSA2H6G,564,1556807126.21,1,7
PSA2H6G,565,1556808597.348,1,6
PSA2H6G,569,1556808560.459,0,8
PSA2H6G,570,1556804611.355,1,7
PSA2H6G,571,1556820420.06,1,5
PSA2H6G,648,1556810916.345,1,7
PSA2H6G,649,1556820390.098,1,3
PSA2H6G,656,1556819654.489,0,10
PSA2H6G,732,1556819918.031,1,4
PSA2H6G,736,1556820635.495,1,5
PSA2H6G,737,1556820317.261,1,5
PSA2H6G,739,1556821183.072,1,6
PSA2H6G,740,1556808520.929,0,1
PSA2H6G,742,1556808555.276,1,5
PSA2H6G,743,1556820851.649,1,5
PSA2H6G,746,1556808611.881,0,2
PSA2H6G,747,1556820251.288,1,5
PSA2H6G,748,1556820191.197,1,3
PSA2H6G,750,1556819666.101,1,4
PSA2H6G,802,1556808608.977,1,12
PSA2H6G,807,1556808621.686,0,4
PSA2H6G,815,1556820140.524,1,3
PSA2H6G,816,1556808512.258,1,5
PSA2H6G,821,1556808598.552,0,1
PSA2H6G,822,1556820520.274,1,3
PSA2H6G,823,1556820599.208,1,3
PSAVTV6,1179,1550846514.184,0,1
PSAVUF5,1189,1554990497.168,1,8
PSAVUF5,1190,1555076020.117,1,11
PSAVUF5,1191,1555077065.585,1,6
PSAVUF5,1192,1555570185.215,1,3
PSAVUF5,1194,1555012366.553,1,10
PSAVUF5,1200,1555010800.758,1,5
PSAVUF5,1212,1555075131.644,1,8
PSAVUF5,1274,1555075472.348,1,8
PSAVUF5,1286,1554991183.154,1,9
PSAVUF5,1287,1555011206.886,1,8
PSAVUF5,1304,1554992624.971,0,10
PSAVUF5,1323,1555075339.302,1,10
PSAVUF5,1325,1554991095.075,0,2
PSAV9DV,1353,1547661401.217,1,11
PSAV9DV,1355,1547748699.472,1,4
PSAV9DV,1357,1547834469.603,1,4
PSAV9DV,1359,1547661622.977,0,1
PSAV9DV,1360,1547747292.564,1,6
PSAV9DV,1366,1547671368.012,1,3
PSAV9DV,1367,1547749640.903,0,2
PSAV9DV,1370,1547662081.094,1,4
PSAV9DV,1374,1547662840.534,1,3
PSAVUF5,1389,1555095604.359,1,3
PSAVUF5,1390,1555008844.046,0,3
PSAVUF5,1393,1555085313.063,1,5
PSAVUF5,1415,1555003544.29,1,10
PSAV9DV,1479,1547749996.147,1,3
PSAV9DV,1480,1547661920.13,0,1
PSAV9DV,1519,1548437968.206,1,4
PSAV9DV,1520,1547747383.269,1,3
PSA2H6G,1656,1550171589.869,1,3
PSA2H6G,1660,1550257520.227,1,5
PSA2H6G,1661,1550172619.102,1,7
PSA2H6G,1665,1550257662.651,1,3
PSA2H6G,1667,1550257832.72,1,10
