"target_sequence","student_id","assignment_completed","problems_completed"
PSAVTVM,354,1,3
PSAVUK7,354,0,11
PSA2H6G,544,1,4
PSA2H6G,545,1,3
PSA2H6G,552,1,7
PSA2H6G,555,0,1
PSA2H6G,556,1,3
PSA2H6G,558,1,3
PSA2H6G,562,1,3
PSA2H6G,564,1,7
PSA2H6G,565,1,6
PSA2H6G,569,0,8
PSA2H6G,570,1,7
PSA2H6G,571,1,5
PSA2H6G,648,1,7
PSA2H6G,649,1,3
PSA2H6G,656,0,10
PSA2H6G,732,1,4
PSA2H6G,736,1,5
PSA2H6G,737,1,5
PSA2H6G,739,1,6
PSA2H6G,740,0,1
PSA2H6G,742,1,5
PSA2H6G,743,1,5
PSA2H6G,746,0,2
PSA2H6G,747,1,5
PSA2H6G,748,1,3
PSA2H6G,750,1,4
PSA2H6G,802,1,12
PSA2H6G,807,0,4
PSA2H6G,815,1,3
PSA2H6G,816,1,5
PSA2H6G,821,0,1
PSA2H6G,822,1,3
PSA2H6G,823,1,3
PSAVTV6,1179,0,1
PSAVUF5,1189,1,8
PSAVUF5,1190,1,11
PSAVUF5,1191,1,6
PSAVUF5,1192,1,3
PSAVUF5,1194,1,10
PSAVUF5,1200,1,5
PSAVUF5,1212,1,8
PSAVUF5,1274,1,8
PSAVUF5,1286,1,9
PSAVUF5,1287,1,8
PSAVUF5,1304,0,10
PSAVUF5,1323,1,10
PSAVUF5,1325,0,2
PSAV9DV,1353,1,11
PSAV9DV,1355,1,4
PSAV9DV,1357,1,4
PSAV9DV,1359,0,1
PSAV9DV,1360,1,6
PSAV9DV,1366,1,3
PSAV9DV,1367,0,2
PSAV9DV,1370,1,4
PSAV9DV,1374,1,3
PSAVUF5,1389,1,3
PSAVUF5,1390,0,3
PSAVUF5,1393,1,5
PSAVUF5,1415,1,10
PSAV9DV,1479,1,3
PSAV9DV,1480,0,1
PSAV9DV,1519,1,4
PSAV9DV,1520,1,3
PSA2H6G,1656,1,3
PSA2H6G,1660,1,5
PSA2H6G,1661,1,7
PSA2H6G,1665,1,3
PSA2H6G,1667,1,10
PSA2H6G,1670,0,1
PSAVUF5,1743,1,3
PSAVUF5,1756,1,3
PSAVUF5,1770,1,5
PSAVUF5,1773,1,5
PSAVUF5,1775,1,3
PSAVUF5,1779,1,6
PSAVUF5,1782,0,3
PSAVUF5,1786,0,5
PSAVUF5,1824,1,4
PSAVUF5,1827,1,3
PSAVUF5,1830,0,1
PSAVUF5,1834,1,3
PSAVUF5,1929,0,3
PSAVUF5,1931,1,6
PSAVUF5,1936,1,3
PSA2H6G,2092,0,2
PSAVUF5,2657,1,13
PSAVUGQ,2657,1,3
PSAVUK7,2657,0,15
PSAVUMA,2657,1,5
PSAVUGQ,2665,1,3
PSAVUGQ,2666,1,3
PSAVUGQ,2667,1,5
PSAVUGQ,2668,1,4
PSAVUGQ,2669,1,5
PSAVUGQ,2670,1,4
PSAVUGQ,2671,1,7
PSAVUGQ,2672,1,6
PSAVUGQ,2673,1,4
PSAVUGQ,2675,1,4
PSAVUGQ,2676,1,5
PSAVUGQ,2677,1,6
PSAVUGQ,2678,1,6
PSAVUGQ,2679,1,4
PSAVUGQ,2680,1,3
PSAVUGQ,2681,1,8
PSAVUGQ,2684,1,5
PSAVUGQ,2685,1,5
PSAVUGQ,2686,1,9
PSAVUGQ,2687,1,4
PSAVUGQ,2688,1,4
PSAVUGQ,2689,1,5
PSAVUGQ,2690,1,3
PSAVUGQ,2691,1,3
PSAVUGQ,2692,1,4
PSAVUGQ,2693,1,4
PSAVUGQ,2694,1,4
PSAVUGQ,2695,1,4
PSAVUGQ,2696,1,4
PSAVUGQ,2697,1,3
PSAVUGQ,2698,1,4
PSAVUGQ,2699,1,4
PSAVUGQ,2700,1,4
PSAVUGQ,2701,1,5
PSAVUGQ,2702,1,4
PSAVUGQ,2745,1,4
PSAVUGQ,2747,1,3
PSAVUGQ,2748,1,3
PSAVUGQ,2749,1,5
PSAVUGQ,2750,1,3
PSAVUGQ,2751,1,4
PSAVUGQ,2752,1,4
PSAVUGQ,2753,1,5
PSAVUGQ,2755,1,4
PSAVUGQ,2756,1,6
PSAVUGQ,2757,1,4
PSAVUGQ,2758,1,7
PSAVTV6,2984,0,10
PSAVUF5,3431,1,4
PSA2H6G,3805,1,3
PSA2H6G,3813,1,4
PSA2H6G,3822,1,3
PSA2H6G,3824,0,5
PSA2H6G,3830,1,3
PSA2H6G,3831,0,4
PSA2H6G,3870,0,3
PSA2H6G,3882,1,3
PSA2H6G,3885,0,3
PSA2H6G,3893,1,3
PSA2H6G,3896,1,3
PSA2H6G,4112,1,4
PSA2H6G,4436,1,15
PSA2H6G,4447,0,1
PSA2H6G,4457,0,3
PSA2H6G,4564,0,5
PSA2H6G,4575,0,1
PSA2H6G,4576,0,3
PSA2H6G,4587,1,3
PSA2H6G,4594,1,4
PSA2H6G,4601,1,3
PSA2H6G,4602,0,2
PSA2H6G,4615,1,3
PSA2H6G,4618,1,3
PSA2H6G,4823,1,3
PSA2H6G,4836,1,6
PSA2H6G,4849,1,9
PSA2H6G,4874,1,7
PSA2H6G,4877,1,6
PSA2H6G,4882,0,5
PSA2H6G,4883,0,2
PSA2H6G,4884,1,4
PSA2H6G,4885,1,4
PSA2H6G,4887,1,3
PSA2H6G,4921,0,2
PSA2H6G,4925,1,4
PSA2H6G,4937,1,3
PSA2H6G,5188,0,1
PSA2H6G,5279,1,3
PSAVUK8,5346,0,1
PSA2H6G,5446,1,8
PSAVUGQ,5916,1,3
PSAVUGQ,5928,1,5
PSAVUGQ,5971,1,4
PSAVUGQ,5978,0,10
PSAVUGQ,5982,1,6
PSAVUGQ,5984,1,4
PSAVUGQ,5985,1,4
PSAVUGQ,5986,1,4
PSAVUGQ,5990,1,4
PSAVUGQ,5992,1,3
PSAVUGQ,5993,1,4
PSAVUGQ,5994,1,4
PSAVUGQ,5996,1,6
PSAVUGQ,5997,1,4
PSAVUGQ,5998,1,6
PSAVUGQ,5999,1,6
PSAVUGQ,6002,1,4
PSAVUGQ,6003,1,7
PSAVUGQ,6004,1,4
PSAVUGQ,6005,1,9
PSAVUGQ,6006,1,4
PSAVUGQ,6007,1,6
PSAVUGQ,6008,1,4
PSAVUGQ,6009,1,3
PSAVUGQ,6010,1,4
PSAVUGQ,6012,1,4
PSAVUGQ,6016,1,5
PSAVUGQ,6017,1,3
PSAVUGQ,6044,1,4
PSAVUGQ,6045,1,9
PSAVUGQ,6046,1,4
PSAVUGQ,6047,1,3
PSAVUGQ,6048,1,4
PSAVUGQ,6049,1,4
PSAVUGQ,6050,1,4
PSAVUGQ,6051,1,6
PSAVUGQ,6052,1,4
PSAVUGQ,6053,1,4
PSAVUGQ,6054,1,3
PSAVUGQ,6055,1,4
PSAVUGQ,6056,1,6
PSAVUGQ,6058,1,3
PSAVUGQ,6059,1,4
PSAVUGQ,6060,1,4
PSAVUGQ,6062,1,3
PSAVUGQ,6063,1,4
PSAVUGQ,6064,1,3
PSAVUGQ,6066,1,3
PSAVUGQ,6067,1,3
PSAVUGQ,6074,1,5
PSAVUGQ,6075,1,3
PSAVUGQ,6307,1,6
PSA2H6G,6598,1,3
PSA2H6G,6600,0,6
PSA2H6G,6602,0,3
PSAVUGY,6653,1,3
PSAVUF5,6848,0,2
PSAVTUH,6852,1,3
PSAVUGR,6857,1,3
PSAVUGR,6858,0,10
PSAVUGR,6859,1,8
PSAVUGR,6860,1,9
PSAVUGR,6861,1,3
PSAVUGR,6862,1,7
PSAVUGR,6863,1,6
PSAVUGR,6864,1,9
PSAVUGR,6865,0,3
PSAVUGR,6866,1,9
PSAVUGR,6867,0,8
PSAVUGR,6868,1,3
PSAVUGR,6869,1,3
PSAVUGR,6870,1,3
PSAVUGR,6871,1,5
PSAVUGR,6872,1,3
PSAVUGR,6873,1,3
PSAVUGR,6874,1,6
PSAVUGR,6875,1,7
PSAVUGR,6876,1,5
PSAVUGR,6877,0,8
PSA2H6G,7890,0,4
PSA2H6G,7891,1,4
PSA2H6G,7892,1,7
PSA2H6G,8093,1,12
PSA2H6G,8094,0,2
PSAVUK7,8096,0,13
PSAVUK7,8097,1,3
PSAVUK7,8098,1,5
PSAVUK7,8100,0,2
PSAVUK7,8101,1,8
PSAVUK7,8102,1,10
PSAVUK7,8103,1,4
PSAVUK7,8104,1,3
PSAVUK7,8105,1,6
PSAVUK7,8106,1,3
PSAVUK7,8107,1,8
PSAVUK7,8109,0,5
PSAVUK7,8110,0,7
PSAVUK7,8111,0,2
PSAVUK7,8112,1,3
PSAVUK7,8113,0,4
PSAVUK7,8114,0,2
PSAVUK7,8115,0,2
PSA2H6G,8223,1,3
PSA2H6H,8578,0,4
PSAVUA4,8578,1,5
PSAVUK8,8578,1,6
PSAVUME,8578,1,3
PSAVUF5,8792,1,3
PSAVUGR,8795,0,8
PSAVUGR,8796,0,10
PSAVUGR,8797,0,6
PSAVUGR,8798,0,9
PSAVUGR,8799,0,4
PSAVUGR,8804,0,10
PSAVUGR,8815,0,5
PSAVUGR,8819,0,6
PSAVUGR,8832,0,10
PSAVUGR,8833,0,7
PSAVUGR,8834,0,10
PSAVUGR,8835,0,6
PSAVUGR,8836,1,7
PSAVUGR,8837,0,10
PSAVUGR,8838,0,1
PSAVUGR,8839,0,10
PSAVUGR,8840,0,2
PSAVUGR,8841,0,2
PSAVUGR,8872,0,10
PSAVUGR,8874,0,10
PSAVUGR,8875,1,5
PSAVUGR,8876,0,8
PSAVUGR,8877,0,10
PSAVUGR,8905,0,3
PSAVUGR,8906,0,2
PSAVUGR,8907,0,6
PSAVUGR,8908,0,4
PSAVUGR,8921,0,10
PSAVUGR,8922,0,3
PSAVUGR,8923,0,2
PSAVUGR,8924,0,10
PSAVUGR,8925,0,2
PSAVUGR,8926,1,7
PSAVUGR,8927,0,10
PSAVUGR,8928,0,8
PSAVUGR,8929,0,1
PSAVUGR,8930,1,5
PSAVUGR,8948,0,1
PSAVUGR,8949,0,10
PSAVUGR,8952,0,4
PSAVUGR,8954,0,5
PSAVUGR,8955,0,4
PSAVUGR,8956,0,2
PSAVUGR,8961,0,10
PSAVUGR,8964,0,4
PSAVUGR,8968,0,1
PSAVUGR,8972,0,4
PSAVUGR,8982,0,5
PSAVUGR,8986,0,7
PSAVUF5,9017,1,3
PSAVUGR,9018,0,10
PSAVUF6,9031,1,5
PSAVUF6,9037,1,9
PSAVUF6,9038,0,1
PSAVUF6,9039,1,5
PSAVUF6,9040,0,3
PSAVUF6,9041,1,5
PSAVUF6,9042,1,8
PSAVUF6,9043,1,8
PSAVUF6,9044,0,4
PSAVUF6,9045,1,9
PSAVUF6,9046,0,2
PSAVUF6,9047,1,4
PSAVUF6,9048,1,4
PSAVUF6,9049,1,6
PSAVUF6,9050,1,10
PSAVUF6,9051,1,3
PSAVUF6,9052,1,10
PSAVUF6,9053,1,5
PSAVUF6,9054,1,3
PSAVUF6,9055,1,6
PSAVUF6,9056,1,7
PSAVUF6,9057,1,6
PSAVUF6,9095,1,3
PSAVUF6,9101,1,11
PSAVUF6,9132,1,21
PSAVUF6,9139,1,6
PSAVUF6,9142,1,3
PSAVUF6,9160,1,8
PSAVUF6,9179,0,2
PSAVUF6,9182,1,3
PSAVUF6,9183,0,1
PSAVUF6,9219,1,3
PSAVUF6,9221,1,11
PSAVUF6,9311,0,3
PSAVTUH,9319,1,3
PSAVTUH,9321,1,5
PSAVTUH,9322,0,5
PSAVTUH,9324,1,4
PSAVTUH,9639,0,4
PSA2H6G,9935,1,10
PSA2H6G,9938,1,3
PSAHK8,9938,1,10
PSAVUA4,9938,0,4
PSAVUK7,9938,1,6
PSA2H6G,9939,1,3
PSAV9DV,9939,1,5
PSAVUA4,9939,1,5
PSAVUGR,9939,1,4
PSAVUK8,9939,1,3
PSA2H6G,9946,1,6
PSAHK8,9946,0,7
PSA2H6G,9949,1,8
PSAHK8,9949,0,2
PSAV9DV,9949,1,3
PSAVUA4,9949,1,4
PSAVUK8,9949,1,3
PSA2H6G,9952,1,5
PSAHK8,9952,0,12
PSAHK8,9955,0,2
PSAVUK7,9955,0,2
PSA2H6G,10014,1,4
PSAVUGR,10014,0,20
PSA2H6G,10018,1,3
PSAVUGR,10018,1,3
PSA2H6G,10984,1,3
PSA2H6G,10985,1,3
PSA2H6G,10987,1,3
PSA2H6G,10989,1,3
PSA2H6G,10991,0,1
PSA2H6G,10993,1,6
PSA2H6G,10994,1,11
PSA2H6G,10995,1,3
PSA2H6G,10997,1,4
PSA2H6G,10998,1,3
PSA2H6G,11000,1,3
PSA2H6G,11002,1,7
PSA2H6G,11003,1,3
PSA2H6G,11004,1,3
PSA2H6G,11005,1,12
PSA2H6G,11052,0,2
PSA2H6G,11055,1,4
PSA2H6G,11057,1,3
PSA2H6G,11060,1,3
PSA2H6G,11064,0,1
PSA2H6G,11068,1,3
PSA2H6G,11069,1,8
PSA2H6G,11079,1,3
PSA2H6G,11081,1,3
PSA2H6G,11082,1,7
PSA2H6G,11086,1,7
PSA2H6G,11089,1,3
PSA2H6G,11090,1,3
PSA2H6G,11093,1,3
PSA2H6G,11094,1,3
PSA2H6G,11096,1,3
PSA2H6G,11102,0,5
PSA2H6G,11107,1,4
PSA2H6G,11109,1,6
PSA2H6G,11110,1,4
PSA2H6G,11118,1,7
PSA2H6G,11120,1,5
PSA2H6G,11125,0,10
PSA2H6G,11130,1,3
PSA2H6G,11133,1,4
PSA2H6G,11134,1,3
PSA2H6G,11136,1,5
PSA2H6G,11139,1,5
PSA2H6G,11141,1,6
PSA2H6G,11143,1,3
PSA2H6G,11147,1,3
PSA2H6G,11148,1,3
PSA2H6G,11149,1,3
PSA2H6G,11150,0,11
PSA2H6G,11151,1,3
PSA2H6G,11152,1,3
PSA2H6G,11154,1,3
PSA2H6G,11155,1,3
PSA2H6G,11156,1,4
PSA2H6G,11158,1,3
PSA2H6G,11159,0,10
PSA2H6G,11160,1,4
PSA2H6G,11162,1,3
PSA2H6G,11166,0,11
PSA2H6G,11168,1,7
PSA2H6G,11169,0,1
PSA2H6G,11171,1,11
PSA2H6G,11173,1,7
PSA2H6G,11174,1,3
PSA2H6G,11176,1,9
PSA2H6G,11177,0,10
PSA2H6G,11181,1,9
PSA2H6G,11193,1,5
PSA2H6G,11221,0,1
PSA2H6G,11230,1,4
PSA2H6G,11231,1,3
PSA2H6G,11232,1,3
PSA2H6G,11237,1,3
PSA2H6G,11238,1,3
PSA2H6G,11239,1,5
PSA2H6G,11240,1,3
PSA2H6G,11241,1,3
PSA2H6G,11242,0,3
PSA2H6G,11244,1,6
PSA2H6G,11246,1,4
PSA2H6G,11262,1,3
PSA2H6G,11273,1,5
PSA2H6G,11275,1,3
PSA2H6G,11298,1,3
PSA2H6G,11301,0,10
PSA2H6G,11304,1,3
PSA2H6G,11305,0,1
PSA2H6G,11309,1,5
PSA2H6G,11313,1,9
PSA2H6G,11317,1,3
PSA2H6G,11322,0,7
PSA2H6G,11323,1,3
PSA2H6G,11334,1,3
PSA2H6G,11337,1,3
PSA2H6G,11338,1,3
PSA2H6G,11340,1,3
PSA2H6G,11341,1,11
PSA2H6G,11343,1,7
PSA2H6G,11344,1,13
PSA2H6G,11346,0,2
PSA2H6G,11347,1,6
PSA2H6G,11349,1,3
PSA2H6G,11352,0,2
PSA2H6G,11353,0,2
PSA2H6G,11375,1,3
PSA2H6G,11383,0,1
PSA2H6G,11385,1,3
PSA2H6G,11389,1,3
PSA2H6G,11390,1,10
PSA2H6G,11570,1,3
PSAVUK7,11695,0,11
PSAVUK7,11851,0,2
PSA2H6G,11931,1,3
PSAVUF5,12121,1,5
PSAVUF5,12185,0,1
PSAVUF5,12188,1,3
