"school_id","pre_2015_05_01__teacher_count","post_2015_05_01__pre_2018_01_01__teacher_count","pre_2015_05_01__class_count","post_2015_05_01__pre_2018_01_01__class_count","pre_2015_05_01__user_count","post_2015_05_01__pre_2018_01_01__user_count","pre_2015_05_01__assignment_log_count","post_2015_05_01__pre_2018_01_01__assignment_log_count"
"01530320",59,23,165,99,4323,5051,121862,124128
"03480605",24,40,36,121,758,3351,7910,78307
"03480415",101,26,391,138,8789,3367,190988,71432
"02730015",1,1,11,11,280,309,70730,62053
"00250315",42,24,113,66,2717,1856,137694,57996
"00930018",2,1,11,9,551,509,32390,43055
"08320605",23,29,78,60,1757,1691,42009,40003
"03150305",40,28,111,107,2173,2032,38993,35582
"01850090",1,2,4,9,283,378,39492,33750
"03480512",6,5,21,14,504,314,6213,32772
"02460505",1,1,12,14,214,297,25093,27821
"02710030",101,22,288,60,7322,1184,58413,26897
"07750305",11,4,17,10,430,583,11404,25406
"07750040",9,5,29,22,572,497,21754,22644
"02040505",1,4,1,7,30,317,148,22501
"02510305",11,1,43,10,741,176,28254,21158
"00480505",3,2,8,17,64,517,869,19209
"07530505",10,6,14,18,309,626,18924,18932
"03320505",18,12,56,46,537,1261,16213,18835
"06580310",1,3,8,9,257,246,12653,17656
"01770305",12,3,42,19,667,430,38921,15640
"06220405",17,4,40,18,597,323,16592,14425
"03480515",73,7,221,23,4590,993,85766,14169
"07750505",13,3,25,7,466,236,9438,14026
"02880305",17,19,40,53,484,998,3759,14021
"02710505",20,19,35,31,683,585,20516,12842
"06200505",5,4,13,20,333,415,12673,12707
"01100305",46,6,159,34,4056,441,62853,12661
"06550505",0,4,0,7,0,909,0,12402
"00500305",22,10,56,41,927,753,7965,12068
"01600018",5,3,5,13,7,599,28,11316
"02710305",50,13,126,36,3040,868,34181,11306
"00170305",21,7,61,41,1145,952,7837,10877
"08010605",1,20,1,33,1,738,4,10609
"07100510",10,3,31,8,1092,217,35782,10605
"02260405",19,11,59,36,1045,654,27360,9308
"01980310",25,14,101,54,1868,646,49546,7948
"03480423",53,5,151,13,2700,632,43400,7426
"03070305",17,2,38,10,1328,374,11622,6937
"07700405",9,3,22,6,337,150,2353,6589
"01870020",6,6,7,13,203,443,759,6084
"01980305",22,13,52,22,1637,733,12439,5512
"07800315",4,12,4,27,63,470,458,5425
"03420330",16,17,33,26,901,738,7164,5349
"06050405",5,2,14,13,325,415,2098,5296
"03440505",1,1,17,10,426,192,8278,4577
"01490531",9,9,17,16,288,185,10342,4502
"03480405",64,8,178,18,3467,452,88534,4389
"07750310",19,4,53,13,942,378,12257,4347
"02900510",4,2,4,7,48,344,469,4173
"00460045",0,8,0,35,0,448,0,4112
"00050405",19,7,51,14,1322,671,19085,4013
"03480285",2,4,3,11,44,270,271,3680
"02270008",3,2,21,9,360,177,9393,3488
"03480420",26,14,55,21,1127,337,6539,3487
"07250305",8,2,14,4,57,91,158,3408
"03460305",3,1,5,7,90,132,178,3202
"01530045",3,9,6,27,35,574,188,2932
"09150705",1,6,2,13,44,229,72,2812
"02710025",3,1,12,5,345,131,6499,2607
"01390505",1,1,1,7,39,133,45,2501
"01510015",31,7,240,16,4048,466,163583,2469
"03080415",1,4,1,8,26,129,84,2225
"00990405",7,6,9,17,75,104,310,1996
"06450305",0,14,0,27,0,434,0,1973
"01370055",1,1,2,2,46,144,230,1902
"01370030",7,2,11,16,317,257,1361,1864
"00460505",2,2,4,3,251,263,7910,1832
"06650305",0,4,0,8,0,172,0,1592
