school_id,teacher_count,class_count,user_count,assignment_log_count,school_start_year,school_end_year,middle_school_pop,a/s
01510015,7,12,127,438,2007,2008,412.0,1.0631067961165048
01510015,3,8,155,1486,2008,2009,412.0,3.6067961165048543
01510015,11,24,279,3565,2009,2010,412.0,8.652912621359222
01510015,14,52,1286,36958,2010,2011,412.0,89.70388349514563
01510015,11,59,1240,43812,2011,2012,412.0,106.33980582524272
01510015,8,34,846,34345,2012,2013,412.0,83.3616504854369
01510015,6,34,629,29736,2013,2014,412.0,72.1747572815534
01510015,4,15,249,8538,2014,2015,412.0,20.723300970873787
01510015,4,7,195,1586,2015,2016,412.0,3.849514563106796
02710030,2,2,2,5,2007,2008,1009.0,0.004955401387512388
02710030,1,2,31,148,2008,2009,1009.0,0.1466798810703667
02710030,7,9,489,1997,2009,2010,1009.0,1.9791873141724479
02710030,48,105,2371,18092,2010,2011,1009.0,17.930624380574827
02710030,45,89,2515,14905,2011,2012,1009.0,14.77205153617443
02710030,25,41,746,5882,2012,2013,1009.0,5.829534192269574
02710030,12,31,703,8557,2013,2014,1009.0,8.480673934588701
02710030,10,22,552,5635,2014,2015,1009.0,5.584737363726462
02710030,9,18,313,11700,2015,2016,1009.0,11.595639246778989
02710030,13,27,521,11279,2016,2017,1009.0,11.178394449950446
02710030,8,16,368,8692,2017,2018,1009.0,8.614469772051535
03480405,5,10,174,2875,2007,2008,623.0,4.614767255216694
03480405,2,4,182,4863,2008,2009,623.0,7.80577849117175
03480405,5,17,156,12485,2009,2010,623.0,20.040128410914928
03480405,17,36,680,7040,2010,2011,623.0,11.30016051364366
03480405,25,55,1153,29116,2011,2012,623.0,46.73515248796148
03480405,11,19,441,15837,2012,2013,623.0,25.42054574638844
03480405,12,19,435,4206,2013,2014,623.0,6.751203852327448
03480405,10,18,400,3002,2014,2015,623.0,4.818619582664526
03480405,3,5,135,1588,2015,2016,623.0,2.548956661316212
03480405,6,11,228,1928,2016,2017,623.0,3.0947030497592296
03480415,8,19,265,1292,2007,2008,978.0,1.3210633946830266
03480415,4,9,302,5076,2008,2009,978.0,5.190184049079755
03480415,17,27,1273,8783,2009,2010,978.0,8.980572597137014
03480415,48,88,1709,36894,2010,2011,978.0,37.7239263803681
03480415,24,58,1322,42307,2011,2012,978.0,43.258691206543965
03480415,27,74,1354,34547,2012,2013,978.0,35.3241308793456
03480415,20,60,1341,26098,2013,2014,978.0,26.685071574642127
03480415,29,75,1471,31989,2014,2015,978.0,32.70858895705521
03480415,16,41,1201,31306,2015,2016,978.0,32.010224948875255
03480415,11,34,1064,21886,2016,2017,978.0,22.378323108384457
03480415,11,25,875,17879,2017,2018,978.0,18.28118609406953
03480420,1,2,5,6,2007,2008,821.0,0.007308160779537149
03480420,8,10,183,710,2009,2010,821.0,0.8647990255785627
03480420,5,8,157,692,2010,2011,821.0,0.8428745432399513
03480420,3,8,259,2678,2011,2012,821.0,3.2618757612667477
03480420,1,4,102,598,2012,2013,821.0,0.728380024360536
