school_code,trt,fullmatch,pairmatch
00010015,0,NA,NA
00010405,0,1.11,NA
00020010,0,NA,NA
00020015,0,NA,NA
00020020,0,NA,NA
00020025,0,NA,NA
00030305,0,1.3,NA
00050303,0,NA,NA
00050405,1,1.37,1.37
00070013,0,1.11,NA
00080009,0,NA,NA
00080020,0,NA,NA
00080050,0,NA,NA
00090305,0,1.31,NA
00090310,0,1.25,NA
00090350,0,1.16,NA
00100410,0,1.3,NA
00160305,0,1.5,NA
00160315,0,NA,NA
00160320,0,NA,NA
00170305,1,1.9,1.9
00180010,0,NA,NA
00180510,0,NA,NA
00200315,0,NA,NA
00200505,0,1.21,NA
00230305,0,1.30,NA
00240006,0,NA,NA
00240025,0,1.17,NA
00250315,1,1.17,1.17
00260305,0,1.26,NA
00270305,0,1.10,1.10
00280005,0,NA,NA
00300305,0,1.17,1.17
00310305,0,1.28,NA
00310310,0,1.29,1.7
00350004,0,NA,NA
00350012,0,NA,NA
00350013,0,NA,NA
00350020,0,NA,NA
00350074,0,NA,NA
00350080,0,NA,NA
00350096,0,NA,NA
00350116,0,NA,NA
00350179,0,NA,NA
00350182,0,NA,NA
00350183,0,NA,NA
00350190,0,NA,NA
00350229,0,NA,NA
00350240,0,NA,NA
00350255,0,NA,NA
00350257,0,NA,NA
00350258,0,NA,NA
00350262,0,NA,NA
00350308,0,1.23,NA
00350326,0,NA,NA
00350346,0,NA,NA
00350363,0,NA,NA
00350375,0,NA,NA
00350376,0,NA,NA
00350377,0,NA,NA
00350378,0,NA,NA
00350380,0,NA,NA
00350382,0,NA,NA
00350383,0,NA,NA
00350426,0,NA,NA
00350445,0,NA,NA
00350470,0,NA,NA
00350485,0,NA,NA
00350545,0,NA,NA
00350560,1,1.36,1.36
00350565,0,NA,NA
00350656,0,NA,NA
00350657,0,NA,NA
00350691,0,NA,NA
00350750,0,NA,NA
00360325,0,1.37,NA
00370005,0,NA,NA
00380013,0,NA,NA
00390005,0,NA,NA
00400305,0,NA,NA
00400310,0,1.16,NA
00430005,0,NA,NA
00440023,0,NA,NA
00440078,0,NA,NA
00440405,0,NA,NA
00440410,0,NA,NA
00440415,0,NA,NA
00440420,0,NA,NA
